,state,opened_on,closed,time_to_close,commits,number,title,url,closed_at
66,closed,2020-09-27 07:40:49,,,2,1423,Server routine: Populate list of DATA(p) receivers,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1423,
67,closed,2020-09-26 22:56:20,,29964.0,6,1422,Handle the release of CacheChanges of DDB,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1422,2020-09-27 07:15:44
68,closed,2020-09-26 18:49:04,,7363.0,2,1421,announcement refactor for the prototype,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1421,2020-09-26 20:51:47
69,closed,2020-09-26 16:40:21,,260.0,1,1420,Server routine: Database server prefix,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1420,2020-09-26 16:44:41
70,closed,2020-09-26 15:57:55,,441.0,1,1419,Server routine: Server thread,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1419,2020-09-26 16:05:16
71,closed,2020-09-26 06:53:50,,32143.0,6,1418,Server routine: Listeners,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1418,2020-09-26 15:49:33
72,closed,2020-09-25 20:48:10,,47162.0,6,1417,Server routine: is_relevant functions,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1417,2020-09-26 09:54:12
73,closed,2020-09-25 13:38:32,,,11,1416,Feature/discovery server/ddb functions,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1416,
74,closed,2020-09-25 09:01:54,,32553.0,2,1415,Server routine: Process to-send lists sub-routine,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1415,2020-09-25 18:04:27
75,closed,2020-09-25 08:24:47,,28811.0,12,1414,Server routine: Process data queue sub-routine,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1414,2020-09-25 16:24:58
76,closed,2020-09-25 05:33:40,,41501.0,3,1413,Server routine: Process dirty topics sub-routine,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1413,2020-09-25 17:05:21
77,closed,2020-09-25 01:43:15,,35921.0,1,1412,remove latomic to clang,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1412,2020-09-25 11:41:56
78,closed,2020-09-24 13:27:06,,430955.0,1,1411,Add failing test to xfail list.,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1411,2020-09-29 13:09:41
79,closed,2020-09-24 13:19:45,,95625.0,5,1410,Server routine: Process disposals sub-routine,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1410,2020-09-25 15:53:30
80,closed,2020-09-24 10:45:29,,83701.0,9,1409,update prototype,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1409,2020-09-25 10:00:30
