,closed_at,created_at,labels,id,number,state,title,url,last_mod,comments,turn_round
139,,2021-06-17 08:17:26,[],923622405,840,closed,Fix mistyped ddsrt_mtime_t.,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/840,,3,1854.0
140,,2021-06-16 18:29:02,[],922952225,839,closed,Do not publish documentation on pull requests,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/839,,0,50476.0
141,,2021-06-16 14:16:08,[],922672639,838,closed,Fix dds_find_topic_scoped handling of topics in different participants,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/838,,1,7356.0
142,,2021-06-15 12:58:33,[],921369793,837,closed,Issue with participant cleanup after finding topic created in one participant through another,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/837,,0,98411.0
143,,2021-06-15 09:59:06,[],921223267,836,closed,Fixes for errors and warnings on FreeRTOS,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/836,,2,83901.0
144,,2021-06-14 14:39:38,[],920482570,835,closed,Use original filename if include is located in additional include directory,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/835,,2,238855.0
145,,2021-06-10 15:55:55,[],917510676,834,closed,Implement Certificate Revocation Lists in security authentication,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/834,,9,1199110.0
146,,2021-06-10 10:33:13,[],917186993,833,closed,Fixes for issues introduced by merging the iceoryx branch,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/833,,0,95265.0
147,,2021-06-10 08:33:01,[],917068339,832,closed,IDL includes resolved in a non-local directory should should retain the original path,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/832,,0,606453.0
148,,2021-06-09 06:59:37,[],915860843,831,closed,Discovering all topics,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/831,,19,7799055.0
149,,2021-06-08 03:49:03,[],914270913,830,closed,topic descriptor documentation,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/830,,27,4935710.0
150,,2021-06-07 21:27:11,[],913967944,829,open,Implementing Certificate Revocation Lists in Secure communications,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/829,,2,
